timestamp_iso_th,indoor_PM1.0,indoor_PM2.5,indoor_PM10,outdoor_PM1.0,outdoor_PM2.5,outdoor_PM10,bme_temp_C,bme_rh_%,bme_pressure_hPa,device_id
2025-09-22T14:06:54+07:00,5,8,9,4,7,7,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:55+07:00,5,8,9,5,8,8,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:56+07:00,5,8,9,5,8,8,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:57+07:00,5,8,9,5,8,8,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:06:59+07:00,5,8,9,5,8,8,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:07:00+07:00,5,8,9,6,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:07:01+07:00,5,8,9,6,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:07:02+07:00,5,8,9,6,9,9,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:03+07:00,5,9,10,6,9,9,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:07:04+07:00,5,9,10,6,9,9,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:05+07:00,5,9,10,6,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:07:06+07:00,5,8,9,6,9,9,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:07:07+07:00,5,8,9,6,9,9,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:08+07:00,5,8,9,6,9,9,31.4,63.5,968.8,raspberrypi5
2025-09-22T14:07:09+07:00,5,9,9,6,10,10,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:10+07:00,5,9,9,6,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:11+07:00,5,9,9,6,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:12+07:00,5,8,9,7,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:13+07:00,5,8,9,7,10,10,31.4,63.5,968.9,raspberrypi5
2025-09-22T14:07:14+07:00,5,8,9,7,10,10,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:15+07:00,5,7,8,7,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:16+07:00,5,7,8,7,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:17+07:00,5,7,8,7,10,10,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:18+07:00,5,7,8,8,11,14,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:19+07:00,5,7,8,8,11,14,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:21+07:00,5,7,8,7,10,13,31.4,63.6,968.8,raspberrypi5
2025-09-22T14:07:22+07:00,5,6,7,7,10,14,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:23+07:00,5,6,7,7,10,14,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:24+07:00,5,6,7,7,10,14,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:25+07:00,5,6,7,8,12,15,31.4,63.7,968.9,raspberrypi5
2025-09-22T14:07:26+07:00,5,6,7,8,12,15,31.4,63.6,968.9,raspberrypi5
2025-09-22T14:07:27+07:00,5,6,7,8,12,15,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:28+07:00,5,6,7,8,11,15,31.5,63.6,968.8,raspberrypi5
2025-09-22T14:07:29+07:00,5,6,7,8,11,15,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:30+07:00,5,6,7,8,11,15,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:31+07:00,5,6,7,7,10,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:32+07:00,5,6,7,7,10,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:33+07:00,5,6,7,7,10,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:34+07:00,5,6,7,7,10,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:35+07:00,5,6,7,7,10,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:36+07:00,5,6,7,7,10,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:37+07:00,4,6,6,7,11,14,31.5,63.5,968.9,raspberrypi5
2025-09-22T14:07:38+07:00,4,6,6,7,11,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:39+07:00,4,6,6,7,11,14,31.5,63.5,968.9,raspberrypi5
2025-09-22T14:07:40+07:00,5,6,7,7,11,14,31.5,63.5,968.8,raspberrypi5
2025-09-22T14:07:41+07:00,6,7,8,7,11,14,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:42+07:00,6,7,8,7,11,14,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:44+07:00,5,7,8,7,10,13,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:45+07:00,5,7,8,7,10,13,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:46+07:00,5,7,8,6,9,12,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:47+07:00,5,7,8,6,9,12,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:48+07:00,5,7,8,6,9,12,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:49+07:00,4,6,7,6,9,12,31.5,63.6,968.8,raspberrypi5
2025-09-22T14:07:50+07:00,4,6,6,5,9,10,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:51+07:00,4,6,6,5,9,10,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:52+07:00,4,6,6,5,9,10,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:53+07:00,4,6,6,6,9,9,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:54+07:00,4,6,6,6,9,9,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:55+07:00,4,6,6,6,9,9,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:56+07:00,3,5,5,6,9,10,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:57+07:00,3,5,5,7,10,11,31.5,63.6,968.9,raspberrypi5
2025-09-22T14:07:58+07:00,3,5,5,7,10,11,31.5,63.6,968.8,raspberrypi5
2025-09-22T14:07:59+07:00,3,5,5,7,10,11,31.5,63.6,968.8,raspberrypi5
2025-09-22T14:08:00+07:00,3,5,5,7,10,11,31.5,63.6,968.8,raspberrypi5
2025-09-22T14:08:01+07:00,3,5,5,7,10,11,31.5,63.5,968.8,raspberrypi5
